,mean,mean,std,std,len,len
,MARKET_VALUE,TURNOVER_VALUE,MARKET_VALUE,TURNOVER_VALUE,MARKET_VALUE,TURNOVER_VALUE
TYPE_NAME_CN,,,,,,
交运设备,9499712857.39165,1663944356.978031,18717502574.84251,2399113414.1002636,8603.0,8603.0
交通运输,16037309180.715233,2604823341.1395197,29344902208.749454,5115369968.528938,12810.0,12810.0
休闲服务,5552496894.685691,1316361523.2624772,9401104231.05971,1965533578.0078444,4568.0,4568.0
传媒,17356050224.652996,4936964164.886678,18232181724.602627,8744396082.309317,4892.0,4892.0
信息服务,6674618936.509518,1759255352.0794322,13638110058.255306,3411032958.8650517,7891.0,7891.0
信息设备,4938348688.088455,1345799174.2240891,8797492753.035444,1895573915.6386878,6011.0,6011.0
公用事业,13202090174.564075,2549234056.257002,25021810377.902428,5638750654.176036,13485.0,13485.0
农林牧渔,6463831427.970022,2076337181.7583442,10011856973.990469,3374684426.724603,9971.0,9971.0
化工,9649580385.21098,2036985025.4110165,54973672977.742424,3663260358.7637153,31051.0,31051.0
医药生物,9120645153.198614,2112018960.074009,11785676680.037691,3029306520.0611434,24273.0,24273.0
商业贸易,7429433243.740479,2129621692.483309,10852944137.602003,4687955438.84123,12312.0,12312.0
国防军工,21429990430.525463,7531118908.497629,27457706578.48558,16948702990.919315,1787.0,1787.0
家用电器,10481906968.636042,2339221445.243564,23642740804.39926,5856431259.178562,6909.0,6909.0
建筑建材,9325862960.540829,1737314831.7482283,19289052990.310535,2848269919.8908114,8325.0,8325.0
建筑材料,8553786938.396477,3104935932.0152173,13597467912.790535,4853653308.666198,3718.0,3718.0
建筑装饰,18907887366.26806,4981388605.33447,41856296929.77609,13407766222.403618,4587.0,4587.0
房地产,10854474826.410904,2566183969.08182,20880174252.239487,5428532920.679289,19483.0,19483.0
有色金属,14351847327.540955,4695142011.527506,24946948218.742504,7698026210.1447,11177.0,11177.0
机械设备,6690575811.851125,1843428011.9590552,14400764611.29732,4705784335.451405,34373.0,34373.0
汽车,14453938619.17892,3021654683.382145,30190701049.911926,4523911997.714932,7041.0,7041.0
电子,8336848302.219483,2727528298.346203,14594666229.046513,5493700586.570378,16470.0,16470.0
电气设备,9677134197.301105,3136048232.879738,12016852846.502066,5406251401.754062,8326.0,8326.0
纺织服装,5345083113.635738,1544590337.4993575,6611844885.597837,2847474137.073918,10245.0,10245.0
综合,4763728710.657103,1911978877.3853965,6691314493.285732,3757053756.40169,7131.0,7131.0
计算机,11546979245.891928,4650847748.527814,14187635640.63471,6975767475.388762,8276.0,8276.0
轻工制造,5472035662.589968,1731493054.4142554,5021942714.316234,2512261641.461682,11017.0,11017.0
通信,11134516420.84813,3924654285.5250435,18920997861.246563,7470217782.755164,4089.0,4089.0
采掘,61186214137.56059,3897065479.4291387,284820255905.2065,6605606685.941075,6684.0,6684.0
金融服务,190073010486.5856,8828634665.202883,362700046962.80383,11186982612.190393,3470.0,3470.0
钢铁,18936384275.701717,3541564065.7805414,27787433779.01313,6298502501.967931,4887.0,4887.0
银行,419785176152.3082,21186100065.260826,495241757291.6614,31720696353.25773,983.0,983.0
非银金融,87240855708.84494,17218464639.594326,151452396521.82492,35071786771.141014,2296.0,2296.0
食品饮料,17226037145.051857,2834873425.81333,42882694893.37302,5101893841.922207,8763.0,8763.0
